,smiles,rt
26,CCOC[C@H]1CCC2(CCN(C(=O)Cn3c(=O)oc4cc(Cl)ccc43)CC2)O1,900.5
27,CN1C(=O)c2cccnc2Sc2cc(N=C(O)c3ccccc3C(F)(F)F)ccc21,798.9
28,COc1ncc(C(O)=Nc2ccc(F)c(F)c2)c(C)n1,794.8
29,CC(C)n1c(CCN=C(O)Cc2ccc(F)cc2)nc2cccnc21,671.5
30,CCOC(=O)Cc1ccc(NC(O)=N[C@H]2CCN(c3ccc(C)cc3)C2=O)cc1,783.7
31,COc1ccc(OC)c(N=C(O)N2CCC3(CC2)N=C(O)C(c2ccc(C)c(C)c2)=N3)c1,895.7
32,Cc1cc(C)n2c(Nc3cccc(C(F)(F)F)c3)c(-c3ccc(F)cc3)nc2n1,829.1
33,COc1cccc(C(O)=N[C@@]2(C(F)(F)F)C(=O)N(C3CCCC3)C(C)=C2C(C)=O)c1,964.0
34,CCCN1C(=O)COc2ccc(-c3noc(-c4ccc(CS(=O)(=O)c5ccccc5)cc4)n3)cc21,1131.3
35,O=c1c2nc(-c3ccccc3)cn2ccn1-c1ccc(F)cc1,774.6
36,CC[C@@H]1CCCCN1C(=O)Cc1c(C)nn(-c2nc(-c3ccc(C)cc3)cs2)c1C,1382.4
37,OC(CCc1ccccc1)=Nc1cnn(-c2ncncc2N2CCOCC2)c1,648.9
38,Cc1ccc(CNS(=O)(=O)c2cc(-c3n[nH]cc3C(=O)N3CCCC3)oc2C)cc1,725.0
39,CCOC(=O)c1ccc(NC(=O)CCc2ccc3nc(CC)[nH]c3c2)cc1,646.2
40,CCNc1cc(N2CCC[C@H](CCC(=O)N3CCC[C@@H](CN4CCCC4)C3)C2)ncn1,570.8
41,COc1ccc(-c2noc(C3(NC(=O)c4ccc(C(F)(F)F)cc4)CCCCC3)n2)cc1,1261.0
42,CCCN(C)c1nccn2c(=O)n(CC(O)=Nc3ccc(F)cc3F)nc12,672.8
43,N=C(O)c1nnn(Cc2cccc([N+](=O)[O-])c2)c1N,616.5
44,CCn1cc(S(=O)(=O)Nc2cc(F)ccc2C)c2cccnc21,868.8
45,CCCn1cc(S(=O)(=O)Nc2cc(C)ccc2C)c2cccnc21,959.5
46,COc1cccc(N=C(O)Nc2cc3c(cc2Oc2ccccc2)n(C)c(=O)n3C)c1,804.4
47,Cc1ccc(-c2cn3c(CC(O)=Nc4ccc(F)cc4F)csc3n2)cc1C,861.1
48,CC(C)N=C(O)[C@H]1CC(=O)N(C2CCCCC2)C1,657.1
49,CCN1C(=O)c2cccnc2Sc2cc(NC(=O)c3ccc(C)cc3)ccc21,858.8
50,Cc1cc(-c2nnc(C3CCC3)o2)c(C)n1CC(O)=NCc1cccc(Cl)c1,896.6
51,CC1CCN(C[C@@H]2CCCN(C(=O)C3(c4ccccc4)CC3)CC2)CC1,659.8
52,CCCN1C(=O)[C@@H](CC(O)=NC(C)C)Sc2ncccc21,680.0
53,COc1ccc(N2CCN(c3cc(SCC(O)=Nc4ccc(C)cc4F)ncn3)CC2)cc1,1114.6
54,COCC(O)=Nc1cnc(-c2cccc(Cl)c2)nc1,872.1
55,CC[C@@]1(C(O)=Nc2ccc(OC)c(F)c2)CCCCC(O)=N1,719.8
56,CCOc1ccc(-n2c(N3CCSC3)nc3cc(C(=O)OC)ccc3c2=O)cc1,1117.1
57,CCOC(=O)c1ccccc1N=C(O)CSc1ccc(N2CCC[C@@H](C(O)=NC3CC3)C2)nn1,680.3
58,CN1c2cc(C(O)=NC3CCCC3)ccc2C(=O)N2CCCC[C@@H]21,767.0
59,Cc1ccc2[nH]cc(CCN=C(O)CN3C(=O)CSc4cccn4-c4ccccc43)c2c1,954.4
60,COc1ccc(-c2nc3sc(C(=O)N(C)C)c(C)n3c2NC(C)(C)C)cc1,742.4
61,Cc1ccc(CCNS(=O)(=O)c2ccc3c(c2)CCCC(=O)N3)cc1,789.3
62,CC1CCN(c2ncc3c(n2)CC[C@@H](C(=O)Nc2ccc(N4CCOCC4)cc2)C3)CC1,721.1
63,Cc1nnc(N2CCC[C@@H](C(O)=NCc3ccccc3F)C2)c2nn(-c3ccc(Cl)cc3)c(C)c12,770.6
64,O=S(=O)(c1cc(-c2noc(C3CCC3)n2)cs1)N1CCC(C(O)=NC2CCCCCC2)CC1,1114.6
65,Cc1ccc(-c2nnc(Cc3nc(-c4cccc(Cl)c4)no3)o2)cc1F,1167.9
66,CCN1c2ccccc2C(O)=NC12CCN(C(=O)Cc1ccc(OC)cc1)CC2,804.7
67,CCC[C@@H]1c2nccn2CCCN1C(=O)c1conc1C,568.4
68,COc1c(C(O)=NCc2ccc3c(c2)OCO3)sc2ccc(Cl)cc12,1072.5
69,CCN1CCN(CCNC(=O)c2sc3ncccc3c2-n2c(C)ccc2C)CC1,573.8
70,COc1cccc(-c2nc3sc(C(=O)N4CCOCC4)c(C)n3c2NC(C)(C)C)c1,794.6
71,COCCN=C(O)NCC1(c2ccccc2)CCOCC1,614.7
72,Cc1ccc(NS(=O)(=O)c2cn(CC(C)C)c3ncccc23)c(C)c1,1053.4
73,Cc1ccc(CN=C(O)c2ccc3c(c2)Sc2ncccc2C(=O)N3C)cc1,795.8
74,COc1cccc(N=C(O)Cn2c(C)nc3c(sc4nc(-c5ccccc5)ccc43)c2=O)c1,1087.9
75,Cn1c(=O)c(=O)n(CC(O)=NCCc2ccco2)c2cccnc21,645.6
76,N=C(O)C1CCN(C(=O)CCc2nnc3c4cc(-c5ccc(Cl)cc5)nn4ccn23)CC1,670.6
77,CCN1C(=O)[C@](C)(C(O)=NCc2ccccc2Cl)Oc2cccnc21,889.5
78,COc1ccc(C(O)=Nc2nc(-c3ccc([N+](=O)[O-])cc3)cs2)cc1OC,1013.9
79,Cc1ccc(S(=O)(=O)N2C[C@@H]3CN(C(O)=Nc4ccccc4C)C[C@@H](C2)O3)cc1,783.9
80,CC(=O)c1ccc(NC(=O)CCn2nc(C)nc2C)cc1,557.3
81,COc1ncc(C(O)=N[C@@H](C)c2ccc(F)cc2)cn1,755.9
82,CCC(C)(C)N=C(O)CCNc1c(-c2ccc(F)cc2)nc2cnccn12,754.4
83,COc1c(C(O)=NCc2ccccc2C)sc2cccc(F)c12,1131.0
84,Cc1ncoc1C(=O)N1CCC(F)(F)[C@H](COCC2CC2)C1,789.3
85,COc1ccc([C@@H]2CC(=O)N(CC(O)=NC[C@H]3CCCO3)c3ccccc3S2)cc1,826.4
86,CCCS(=O)(=O)N1CCC2(CC1)CN(c1ccccc1)C2=O,812.3
87,Cc1cc(Cl)ccc1S(=O)(=O)N1CCC(n2cnnc2C)CC1,745.0
88,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@@H](CO)[C@@H]2C(O)=NCc2ccc(C)o2)OCO4)cc(OC)c1OC,674.3
89,O=C(c1ccn2c(-c3cccc(Cl)c3)nnc2c1)N1CCN(c2ccccn2)CC1,607.5
90,Cc1cnc(C2CCC2)n1C[C@H]1CCCN(Cc2cn(C)c3ccccc23)C1,583.0
91,Cc1cnc(-c2ccncc2)n1[C@@H]1CCN(C(=O)C2(C)CCCCC2)C1,626.0
92,CC(=O)N1CCc2cc(C)c(S(=O)(=O)Nc3cccc(F)c3)cc21,730.8
93,Cc1ccccc1-c1noc([C@@H]2CCCN2C(O)=Nc2ccc(F)cc2F)n1,992.6
94,Cc1cnc(C2CC2)n1CCNS(=O)(=O)Cc1ccccc1,633.8
95,CC(C)CCC(O)=NCCc1nc2cccnc2n1-c1ccccc1,717.1
96,Cc1nc(-c2noc(-c3ccncc3)n2)cn1CC(=O)N1CCN(c2ccc(F)cc2)CC1,688.6
97,COc1ccc(N=C(O)[C@H]2CCCN(c3nccnc3Sc3ccccc3)C2)c(OC)c1,1064.9
98,O=C(C1=CN(c2cc(F)cc(F)c2)c2cc(F)ccc2S1(=O)=O)N1CCCC1,828.7
99,CCOCCCN=C(O)Nc1c(-c2cccc(C)c2)nc2ccccn12,862.8
100,OC(=NCc1ccc2c(c1)OCO2)[C@H]1CCCN(c2nccn3nc(-c4ccc(F)cc4)cc23)C1,871.6
101,CCCn1cc(C(=O)N2CCCc3ccccc32)c2nn(-c3ccccc3)c(=O)c-2c1,835.5
102,COc1ccc(N2C(=O)CS[C@@H]2c2ccc(Cl)cc2)cc1,876.9
103,Cc1c(CCC(=O)N2CCC(C(=N)O)CC2)c(=O)oc2cc3oc4c(c3cc12)CCCC4,795.3
104,COCCCN=C(O)C1CCN(c2nc3ccc(-c4ccccc4)nc3s2)CC1,834.7
105,CC(C)(C)c1noc(-c2ccc(-n3cnc(C(O)=NCc4ccccc4)c3)nc2)n1,1058.8
106,OC(Cc1nnc(-c2ccc3ncccc3c2)o1)=NCc1ccc(F)cc1,676.9
107,C[C@@H](CN=C(O)[C@H]1CCCN(c2nc(O)c3scc(-c4ccccc4)c3n2)C1)c1ccccc1,919.2
108,O=C(/C=C/c1cccnc1)c1ccccc1O,816.8
109,COC(=O)c1cc(OCC(=O)Nc2ccc(F)cc2)c2cc(F)ccc2n1,836.2
110,Cc1ccc(N2C(=O)C[C@@H](N3CCC(C(=N)O)CC3)C2=O)cc1C,607.1
111,CCCC[C@@H](CC)C(O)=Nc1nc(-c2ccc(C(C)C)cc2)cs1,1389.6
112,O=C(c1ccc(S(=O)(=O)c2ccccc2)nc1)N1CCN(C2CCCCC2)CC1,566.5
113,Cc1ccn(S(=O)(=O)c2ccc(C(C)(C)C)cc2)n1,983.0
114,Cc1oc2c(c1C(O)=Nc1ccccc1Br)C1=NCCN1C=N2,627.5
115,COc1cccc([C@@H](O)CN2CCN(c3ccc(F)cc3)CC2)c1,660.4
116,CCOC(=O)CC(=O)Nc1ccc(-c2nc(-c3cc(C)ccc3C)co2)cc1,1105.2
117,CN(C(=O)Cn1c(=O)oc2ccccc21)[C@@H]1CCc2nn(C)c(=O)n2CC1,633.0
118,CCCS(=O)(=O)N1CCC2(CC1)C[C@H](OCc1ccccc1)CCO2,984.4
119,Cc1ccc(-c2ccc(=O)n(Cc3noc(C(=O)NCCN4CCC(C)CC4)n3)n2)cc1,676.6
120,Oc1cc(-c2ccccc2)nc(SCc2cccc(Cl)c2)n1,902.6
121,Cc1nc(CC(O)=Nc2nc(-c3ccc(F)cc3)c(C)s2)cs1,894.2
122,CCOc1ccc(-c2noc(N3CCC(C(=O)N4CCOCC4)CC3)n2)cc1OC,736.0
123,Cc1[nH]c(C(=O)N2CCC[C@H](C(O)=N[C@H](C)c3ccccc3)C2)c(C)c1C(=O)OC(C)C,896.5
124,CC(O)=Nc1cccc(-c2nc(-c3ccc4nnn(C(C)C)c4c3)no2)c1,858.9
125,CC(O)=NCCc1nc2ccccc2n1CCCOc1cccc2ccccc12,610.8
126,CC(=O)c1cccc(N=C(O)Cn2c(=O)n(-c3cccc(C)c3)c(=O)c3c2cc(C)n3C)c1,795.5
127,COc1ccc(-c2cn3c(CC(=O)N4CCN(C5CCCCC5)CC4)csc3n2)cc1OC,593.9
128,COc1ccc(C(=O)N2C[C@H](c3ccc(OC)cc3OC)[C@@H](C(O)=NC3CC3)C2)cc1,703.0
129,Cc1cc(Cl)ccc1OCc1nc(-c2ccc3c(c2)nnn3CCC(=O)N2CCOCC2)no1,974.0
130,CS(=O)(=O)c1ccccc1C(=O)Nc1ccc2sccc2c1,756.8
131,COc1ccc(S(=O)(=O)N2CCC(Cc3nncn3C)CC2)cc1,657.3
132,CC(C)n1cnc(S(=O)(=O)N2CCC[C@@H](C(O)=Nc3ccc(F)c(Cl)c3)C2)c1,848.0
133,Cc1oc(-c2cccc(Cl)c2)nc1Cn1nnc(-c2nc(-c3cccc(F)c3)no2)c1C,1359.9
134,COC(=O)C1=CN(c2cc(OC)cc(OC)c2)c2cc(F)ccc2S1(=O)=O,904.0
135,CC(C)N=C(O)CN1C(=O)COc2ccc(C(=O)N3CCCCCC3)cc21,680.0
136,CCc1nnc(-c2ccc(=O)n(CC(O)=NCc3ccc(F)c(Cl)c3)c2)o1,713.3
137,CCCN1CCN(C(=O)C2=Cc3cc(-c4ccccc4)ccc3OC2)CC1,713.9
138,OC(=NCCc1ccccc1)Nc1ccc(-c2nc(-c3ccccc3)co2)cc1,1083.1
139,CCOc1ccc(-c2noc(Cc3nnc(-c4cccc(Cl)c4)o3)n2)cc1,1135.2
140,CCOc1ccccc1C(=O)N1CCCC[C@@H]1c1nncn1CC1CC1,745.6
141,COc1cc(NS(=O)(=O)c2ccc3c(c2)-c2oncc2CO3)cc(OC)c1OC,805.0
142,CCOc1ccccc1CN=C(O)CCc1nnc2c3cc(-c4ccc(OC)cc4)nn3ccn12,797.4
143,O=C(CCn1c(N2CCCCC2)nc2ccccc2c1=O)N1CCN(c2ccccn2)CC1,630.0
144,CCOc1ccc(CN=C(O)c2cnc(OC)nc2)cc1,732.2
145,CCc1ccc(S(=O)(=O)N2CCC(N3CCN(Cc4ccccc4)C(=O)C3=O)CC2)cc1,859.2
146,COc1cc(OC)c(N=C(O)N2CC[C@@]3(C2)c2[nH]cnc2CCN3C)cc1Cl,568.6
147,CC(C)C[C@H](N=C(O)Cn1cnc2ccccc2c1=O)C(=O)O,649.1
148,OC(=NC[C@](O)(c1ccccc1)C(F)(F)F)c1cnccn1,709.6
149,Cc1cc(=O)n(CC(O)=Nc2cc(F)ccc2F)c(N2CCOCC2)n1,698.2
150,C[C@H]1CC[C@]2(CC1)N=C(O)N(CC(O)=Nc1ccc3c(c1)OCO3)C2=O,708.5
151,CCOC(=O)c1c[nH]c2c(C)cc(C)cc2c1=NCCCN(C)C,565.1
152,O=C(O)c1cccc(Nc2c(-c3ccc([N+](=O)[O-])cc3)nc3cnccn23)c1,716.7
153,CCCN1C(=O)CCc2cc(NS(=O)(=O)c3ccccc3C(F)(F)F)ccc21,860.3
154,Cc1ccc(-c2cc3n(n2)CCCN(C(=O)c2cc(CN4CCOCC4)on2)C3)o1,617.1
155,O=c1ccc(-n2cccn2)nn1CCN=C(O)c1cc2ccccc2o1,668.9
156,CCN(CC)c1nc(-c2cccc(C)c2)nnc1C,718.8
157,Fc1ccc(-c2ccc(CNCc3ccccn3)o2)cc1,654.6
158,O=C(Nc1ccc(N2CCOCC2)cc1)[C@@H]1CCCN(c2ncc(-c3ccccc3)cn2)C1,924.7
159,Cc1ccc(N=C(O)c2[nH]c3cc(C)sc3c2CN2CCOCC2)c(Cl)c1,731.2
160,Cc1ccc(N=C(O)c2sc(-c3cn(C)c4ncccc34)nc2C)cc1F,1003.0
161,CCN1C(=O)c2cccc3c(NC(=O)c4ccc(C(=O)OC)cc4)ccc1c23,637.9
162,C[C@@]1(C(O)=NCc2ccccc2)Oc2cccnc2N=C1O,637.6
163,CC(O)=Nc1ccc(-c2noc(C3CCN(C(=O)CCc4c[nH]c5ccccc45)CC3)n2)cc1,785.9
164,Cc1ccc(-c2noc(-c3sccc3N=C(O)C3(c4ccccc4)CC3)n2)cc1,828.5
165,Cc1ccc(C)c2c1NC(=O)C2=NNc1ccccc1[N+](=O)[O-],1149.0
166,Cn1cc(-c2nc(C(O)=Nc3cccc(F)c3)cs2)c2cccnc21,1021.2
167,CCN1C(=O)c2cccnc2Sc2cc(C(O)=NCc3cccc(F)c3)ccc21,810.3
168,Cn1nc(-c2ccccc2)cc1N,598.9
169,Cc1cc(=O)n(CC(=O)Nc2ccc(N(C)C)cc2)c(-c2ccccc2)n1,639.1
170,CCOc1ccc(N2C(=O)CC(c3ccc(OC)c(OC)c3)CC2=O)cc1,840.7
171,Cn1c(N2CCC[C@@H](C(O)=Nc3nccs3)C2)cc(=O)n(C)c1=O,634.1
172,COCCC(O)=Nc1cnn(-c2ncc(N3CCCCC3)cn2)c1,666.7
173,O=c1c2sc(N3CCC[C@H](C(O)=NC4CC4)C3)nc2ncn1CC(O)=Nc1ccccc1F,668.4
174,O=C1NCCCn2cc(S(=O)(=O)Nc3ccc(F)cc3Cl)cc21,649.6
175,COc1cccc(N=C(O)N2CCc3nc[nH]c3C2)c1,554.0
176,CCOC(=O)C1CCN(c2cc3c(cc2NC(O)=NC(C)C)n(C)c(=O)n3C)CC1,713.2
177,O=C(NC1CCCCC1)c1ccc(CN2CCN(Cc3ccccc3)C(=O)C2=O)cc1,786.7
178,OCCNCCNCc1ccc(-c2ccccc2F)o1,563.3
179,O=C([C@@H]1CCCO1)N1CCN(c2nc(CN3CCCCC3)cs2)CC1,579.3
180,C=CCn1c(=O)c2ccccc2n(Cc2nc(-c3ccc(CC)cc3)no2)c1=O,1155.4
181,Cc1cc(=O)n(CC(O)=Nc2ccc3c(c2)OCCO3)c(=N)[nH]1,542.2
182,Cc1ccc2ncn(C3CCN(S(=O)(=O)c4ccc(C(C)C)cc4)CC3)c(=O)c2c1,1054.6
183,O=C(c1ccc(F)c(Cl)c1)N1CCc2nc[nH]c2C1,591.6
184,CCCc1nnsc1C(O)=NCc1nc(C)no1,656.3
185,CO[C@@H]1CCC12CCN(C(=O)c1ccco1)CC2,734.6
186,COc1ccc(CCc2nc3nccc(-c4ccc(F)cc4OC)n3n2)cc1,915.9
187,CSc1cccc(N=C(O)Cn2cccc(-c3nc(-c4ccc(Br)cc4)no3)c2=O)c1,1054.5
188,Cc1cc(F)ccc1NS(=O)(=O)c1ccc(-c2nnc(C3CCC3)o2)o1,962.6
189,CCn1ccnc1N1CCN(CC(O)=Nc2cc(Cl)ccc2OC)CC1,551.7
190,CCCN(C[C@@H]1CCOC1)C(=O)c1ccc(F)c(F)c1,787.1
191,CCn1cc(C)c(C(=O)O)c1CC(=O)N1CCC(N2CCCCC2)CC1,586.6
192,CCn1cc(S(=O)(=O)Nc2ccc(C)c(C)c2)c2cccnc21,887.1
193,Cc1nc2ccn(Cc3cccnc3)c(=O)c2cc1C(O)=NCc1ccc2c(c1)OCO2,592.1
194,CC(=O)N1CCCc2cc(S(=O)(=O)N3CCC(C(O)=NC[C@H]4CCCO4)CC3)ccc21,657.7
195,CCN1c2cc(Cl)ccc2C(O)=NC12CCN(C(O)=NCCc1ccccc1)CC2,863.3
196,Cc1ccc(C)c(N2CCN(C(=O)[C@@H]3CCCCN3S(=O)(=O)c3ccc(F)cc3)CC2)c1,1252.2
197,Cn1cnnc1[C@H]1CCCCN1S(=O)(=O)c1cccs1,639.2
198,OC(=Nc1nc(-c2ccc3c(c2)OCCO3)cs1)c1cc(Cl)sc1Cl,1121.1
199,CCn1cnc2ccc(-c3noc(-c4ccc(C)cc4)n3)cc21,832.2
200,OC(CCNc1c(-c2ccc(F)cc2)nc2cnccn12)=NCC1CC1,647.3
201,COC(=O)c1cc2n(n1)C[C@@](C)(C(O)=NC1CCCCC1)N(c1ccc(F)cc1)C2=O,847.4
202,COc1ccc(OC)c(-c2csc(-c3nnn(-c4ccc(C)c(C)c4)c3N)n2)c1,1231.2
203,COc1ccc(S(=O)(=O)N2C[C@H](C(O)=NC3CCCCC3)Oc3cc(C)ccc32)cc1,1172.9
204,Cc1cccc(S(=O)(=O)N2C[C@@H]3CN(C(=O)CC4CCCC4)C[C@H](C2)O3)c1,889.6
205,O=C(NC[C@@H](c1ccc2c(c1)OCO2)N1CCOCC1)C(=O)Nc1ccc(F)cc1F,674.8
206,OC(=N[C@@H](c1ccccc1)c1nnc(N2CCOCC2)o1)C1CCCCC1,735.3
207,Cc1cccc(N=C(O)Nc2ccc(C)n(CC(=O)O)c2=O)c1,721.2
208,O=C(NC1CCN(Cc2ccccc2)CC1)c1nnc(-c2ccc(S(=O)(=O)N3CCCC3)cc2)o1,1186.1
209,C[C@H]1CCCCN1CCCN=C(O)CN1C(=O)CSc2cccn2-c2ccccc21,650.8
210,COc1ccc(-c2cn3c(CC(O)=Nc4ccc5c(c4)OCCO5)csc3n2)cc1OC,684.2
211,CCN(CCN=C(O)c1ccc2[nH]c3c(c2c1)CN(C(C)=O)CC3)c1ccccc1,1160.8
212,O=C(CCC(O)=NCCN1CCCCCC1)N1C[C@H]2CCCN2c2ccccc21,646.0
213,CC(C)Cc1noc(C2(F)CCN(S(=O)(=O)c3ccc(C(C)(C)C)cc3)CC2)n1,600.7
214,CC(C)CC(=O)N1CCN(c2nc3ccccc3n(CC(C)C)c2=O)CC1,1078.0
215,O=c1c2sc3nc(-c4ccccc4)ccc3c2ncn1CC(O)=Nc1ccccc1,985.7
216,CC(C)N1CCC2(CC1)CN(C(O)=NCc1ccco1)Cc1ccccc1O2,649.8
217,Cc1cccc(-c2noc(Cc3nc(-c4ccc5c(c4)OCO5)cs3)n2)c1,1201.0
218,Cc1ccc(-c2noc(-c3cccc(S(=O)(=O)NCc4ccccc4)c3)n2)cc1,1208.6
219,COc1ccc(-c2noc(CC3CCN(C(=O)C4(c5ccc(OC)cc5)CC4)CC3)n2)cc1,1034.9
220,O=C(C1=NN(Cc2ccccc2)c2ccc(Cl)cc2S1(=O)=O)N1CCOCC1,823.7
221,Cc1cc(N(C)C)n2nc(CN3CCC(Cc4ccccc4)CC3)nc2n1,636.9
222,OC(=NCCOc1cc(N2CCCC2)ncn1)NCc1ccccc1,575.3
223,O=c1c2sccc2nc(N2CCC[C@H](C(O)=NCc3ccc(F)cc3F)C2)n1-c1ccc(F)cc1,884.8
224,COc1ccc(CC(=O)N2CCC[C@H]2c2cc(C)on2)cc1OC,715.9
225,CC1=C(c2cccc(Cl)c2)S(=O)(=O)N=C1N1CCCN(C(=O)c2ccoc2)CC1,806.5
226,COc1cc(CN=C(O)c2ccc3c(c2)N=C(O)[C@H]2CCCCN32)cc(OC)c1OC,725.5
227,CCCC(=O)Nc1ccc2c(c1)CN(C(=O)c1cccc(Cl)c1)[C@@H](C(=O)N(C)C)C2,759.2
228,CC(C)c1nnc2n1CCN(C(=O)CC1CCCCC1)C2,698.9
229,Cc1ccc(Nc2nc(-c3ccc4c(c3)OCO4)cs2)nc1,863.4
230,Clc1ccc(Cl)c(-c2ccc(CNCc3ccccn3)o2)c1,733.0
231,COc1ccc(-c2n[nH]c3c2[C@@H](c2cccc(O)c2)N=C3O)cc1,654.5
232,Cc1ccc(S(=O)(=O)N2CCC3(CC[C@H](CN4CCN(C)CC4)O3)CC2)cc1Cl,655.0
233,Cn1nc(-c2nc(C3CC3)no2)c2c1CCN(C(=O)c1ccncc1)C2,628.2
234,CCCN1C(=O)[C@@H]2CCC(=O)N2c2ccc(C(O)=NC(C)C)cc21,668.7
235,CCn1c(N2CCC[C@H](C(O)=NCCCN3CCCc4ccccc43)C2)cc(=O)n(C)c1=O,847.1
236,Cc1cc(=O)n(Cc2ccc(OC(F)(F)F)cc2)c(Nc2ccc(F)c(F)c2)n1,1300.5
237,CCCCNC(=O)c1nc(=Nc2ccc(CC)cc2)c2ccccc2[nH]1,916.3
238,Cc1nc2cc(N3CCC[C@@H](C(O)=NCCN4CCCCCC4)C3)cnc2nc1C,592.3
239,O=C(NCc1ccccc1OC(F)(F)F)c1ccc(N2CCOCC2)nn1,777.3
240,CCC(O)=NCc1nc2c(n1C)CN(C(=O)c1ccc(Br)cc1)CC2,604.6
241,COc1cccc(/C=N\N=C(O)[C@H](C)S[C@@H](C)C(O)=N/N=C/c2cccc(OC)c2)c1,769.4
242,O=C(NCc1ccccc1)c1c(O)c2cccnc2n(Cc2ccccc2)c1=O,1371.9
243,COc1ccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)[nH]c2=N)cc1,737.3
244,CN1CCN([C@@H](CNC(=O)C(O)=Nc2ccc(Cl)cc2)c2ccc3c(c2)OCO3)CC1,715.7
245,CS(=O)(=O)N1CCN(C(=O)CCn2nnc3ccccc3c2=O)CC1,604.3
246,Cc1ccc(-n2cc(C3=CCN(CC(O)=NC4CCN(Cc5ccccc5)CC4)CC3)cn2)cc1,550.9
247,O=C(c1ccc(F)c(F)c1)N1CCC[C@H](C(O)=NC2CCCC2)C1,762.8
248,OC(Cc1cccc2ccccc12)=NCCOc1ccc(F)cc1,859.6
249,CS(=O)(=O)N1C[C@@H](C(O)=Nc2ccc3c(c2)OCCO3)C2(CCCCC2)C1,847.4
250,CCOc1ccc(-c2nc(CN=C(O)Nc3cc(OC)ccc3OC)c(C)o2)cc1,963.2
251,CC(=O)c1cccc(N=C(O)N2CCc3nc[nH]c3C2)c1,556.3
252,Cc1cc(C)c(OCC(=O)N(Cc2ccc(C)o2)[C@@H]2CCS(=O)(=O)C2)c(C)c1,1030.8
253,OC(=Nc1ccccc1Cl)Nc1ccc(Oc2ccc(NC(O)=Nc3ccccc3Cl)cc2)cc1,1248.5
254,CCOC(=O)c1cnc2nc(C)ccc2c1Nc1ccc(Cl)cc1,752.5
255,O=C(c1nn(CC(O)=Nc2nc3ccc(Cl)cc3s2)c2ccccc12)N1CCCCC1,969.4
256,Cc1oc(C2CCC2)nc1C(O)=NCc1ccc2c(c1)OCO2,978.3
257,CCC(=O)Nc1ccc(S(=O)(=O)NCCOc2ccc3c(c2)OCO3)cc1,829.6
